NAME,ISIN,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
,,"$$ER: E100,INVALID CODE OR EXPRESSION ENTERED",,,,,,,,,,,,,,,,,,,,,,,,,,
SLB,AN8068571086,,,,,,,,,,,390000.0,330000.0,341824.0,550000.0,430000.0,747000.0,577000.0,704000.0,561000.0,642000.0,650000.0,527000.0,375000.0,401000.0,312000.0,373000.0,
ALUAR,ARALUA010258,,,,,,,,,,,,,,,,,,,,,,,,,,814.0,
BANCO BBVA ARGENTINA,ARP125991090,,,,,,,,,,,,,,,,,,,,,,,9138.63,7910.59,6980.51,2833.3,
TERNIUM ARGENTINA SOCIEDAD ANONIMA,ARSIDE010029,"$$ER: 0904,NO DATA AVAILABLE",,,,,,,,,,,,,,,,,,,,,,,,,,
STRABAG SE,AT000000STR1,,,,,,,,,,,,327000.0,315157.0,316702.0,295141.0,231242.0,205827.0,220352.0,234965.0,240709.0,177387.0,171353.0,165711.0,175191.0,183908.0,156306.0,
FLUGHAFEN WIEN,AT00000VIE62,,,,,,,,,,,,,,,,,46714.0,46710.0,45732.0,42587.0,21216.0,17758.0,18053.0,0.0,17704.0,0.0,
RAIFFEISEN BANK INTL.,AT0000606306,,,,,,,,,,,,3720.0,2643.0,40953.0,43060.0,26160.0,25503.0,25801.0,26442.0,53825.0,49708.0,47194.0,41064.0,36991.0,33526.0,21804.0,
ERSTE GROUP BANK,AT0000652011,,,,,,,,,,,5080.0,4480.0,117554.0,86945.0,84281.0,65925.0,52175.0,54377.0,48969.0,35114.0,34884.0,32562.0,22884.0,18742.0,43360.0,42619.0,
TELEKOM AUSTRIA,AT0000720008,,,,,,,,,80877.63,104072.31,69735.0,48107.26,70400.0,189647.0,195246.0,144989.0,176186.0,275328.0,286957.0,234958.0,252034.0,287002.0,272631.0,267108.0,234629.0,265117.0,
ANDRITZ,AT0000730007,,,,,,,,,,,,,,,,,,,,68365.0,75798.0,97669.0,104513.0,73739.0,117625.0,107713.0,
OMV,AT0000743059,,,,,,,,,,,814900.0,742000.0,688000.0,583000.0,700000.0,300000.0,400000.0,400000.0,300000.0,400000.0,906219.0,300000.0,1000000.0,900000.0,778761.0,1036020.0,
VERBUND,AT0000746409,,,,,,,,,,,467753.0,441521.0,845398.0,1053000.0,985000.0,491000.0,410000.0,342000.0,452000.0,411000.0,175000.0,176000.0,146000.0,228000.0,239185.0,116824.0,
WIENERBERGER,AT0000831706,,,,,,,,,,,,,,,,,,,,,,296200.0,175600.0,155200.0,78600.0,272406.0,
VIENNA INSURANCE GROUP A,AT0000908504,,,,,,,,,,,,,,,,,,,,,18714.0,15022.0,14136.0,17405.0,19301.0,13478.0,
VOESTALPINE,AT0000937503,,,,,,,,,,,,,,,,,,,,900000.0,800000.0,940000.0,640000.0,730000.0,650000.0,630000.0,
MAYR-MELNHOF KARTON,AT0000938204,,,,,,,,,,,,,,,,,,,,,100000.0,120000.0,560000.0,630000.0,600000.0,560155.0,
CPI EUROPE AGE,AT0000A21KS2,,,,,,,,,,,,,,,,,,,,381.0,380.0,,,26407.0,15567.0,20911.0,
ADBRI DEAD - DELIST.02/07/24,AU000000ABC7,,,,,,,,,,,,,,,,,,,,226598.0,230539.0,207432.0,197118.0,183268.0,132803.0,,
,,"$$ER: E100,INVALID CODE OR EXPRESSION ENTERED",,,,,,,,,,,,,,,,,,,,,,,,,,
ARISTOCRAT LEISURE,AU000000ALL7,,,,,,,,,,,,,,,,,,,,,7500.0,7200.0,7100.0,10679.0,16569.0,11094.0,
AMP,AU000000AMP6,,,,,,,,,20810.0,10500.0,3792.0,11960.2,18665.0,22056.8,,,,,9606.0,8117.0,7685.0,6047.0,4842.0,2169.0,953.0,636.0,
ANSELL,AU000000ANN9,,,,,,,,,,,,,,,,,,,,,,94610.0,101615.0,99119.0,76120.0,77684.0,46346.0
ANZ GROUP HOLDINGS,AU000000ANZ3,,,,,,,159108.0,158092.0,157968.0,163207.0,176570.0,202299.0,177724.0,205462.0,204108.0,194666.0,186844.0,172447.0,161969.0,153042.0,140319.0,122331.0,104984.0,96060.0,82853.0,76020.0,74556.0
APA GROUP,AU000000APA1,,,,,,,,,,,97360.0,92951.0,155569.0,153937.0,,,26857.0,26555.0,367387.0,178445.0,176980.0,87765.0,81791.0,92693.0,152018.0,141843.0,150471.0
ASX,AU000000ASX7,,,,,,,,,9950.0,,,10452.0,,11434.0,12000.0,12250.0,13011.0,14435.0,14262.0,14330.0,15065.0,14762.0,13730.0,13318.0,12676.0,12831.0,11803.0
BENDIGO & ADELAIDE BANK,AU000000BEN6,,,,,,,,,,,,,,29227.0,37190.0,37280.0,37770.0,36790.0,27730.0,,,12203.0,9627.0,9181.0,7531.0,6622.0,6389.0
BHP GROUP,AU000000BHP4,,,,,,,29296103.0,28600000.0,30626090.0,29469000.0,27160000.0,26250000.0,21000000.0,20000000.0,24700000.0,22300000.0,17600000.0,6700000.0,5800000.0,6400000.0,6210000.0,5100000.0,5000000.0,4800000.0,3800000.0,3700000.0,3100000.0
BORAL DEAD - DELIST.08/07/24,AU000000BLD2,,,,,,,,,723000.0,727000.0,647000.0,608000.0,604435.0,724000.0,730000.0,686000.0,465000.0,433000.0,419000.0,552000.0,413000.0,290000.0,280000.0,280000.0,,,
BANK OF QLND.,AU000000BOQ8,,,,,,,,,,,,,,,,,5910.0,5278.0,4891.0,4102.0,4082.0,5769.0,4583.0,4976.0,4351.0,3293.0,
BEACH ENERGY,AU000000BPT9,,,,,,,,,,,,,,,,614.0,354.0,578.0,501.0,24017.0,21080.0,28531.0,27761.0,32205.0,28100.0,23058.0,26432.0
BLUESCOPE STEEL,AU000000BSL0,,,,,,,,,,,2050000.0,,2530000.0,1970000.0,1781000.0,1541000.0,1570000.0,1830000.0,2000000.0,1860000.0,1810000.0,1710000.0,1740000.0,1660000.0,1740000.0,1750000.0,
BWP GROUP STAPLED UNITS,AU000000BWP3,,,,,,,,,,,,,77.9,171.74,169.56,267.55,227.84,214.47,172.44,182.11,179.11,216.29,176.57,180.0,251.0,480.0,
COMMONWEALTH BK.OF AUS.,AU000000CBA7,,,,,,,,,,,241332.0,236623.0,220179.0,146090.0,134038.0,122190.0,115580.0,107762.0,96595.0,87278.0,78756.0,103528.0,95762.0,83249.0,74654.0,63844.0,
CHALLENGER,AU000000CGF5,,,,,,,,,,,,,,,,,918.5,994.3,1068.96,838.1,899.4,880.3,690.21,660.03,670.9,624.9,
CIMIC GROUP DEAD - DELIST.11/05/22,AU000000CIM7,,,,,,,,140263.0,,,114783.0,243487.0,132516.0,132516.0,210000.0,92522.0,72142.0,89000.0,128000.0,126000.0,122000.0,61000.0,79000.0,,,,
COCHLEAR,AU000000COH5,,,,,,,,,8191.0,,,,,,,,,,,13537.0,9825.0,9115.0,11793.0,8693.0,2401.0,2183.0,1980.0
COMPUTERSHARE,AU000000CPU5,,,,,,,,,,,,,,,,,,,,,,18612.0,1.2,36.0,35.0,13208.65,13183.0
CHARTER HALL RETAIL REIT,AU000000CQR9,,,,,,,,,,,,13017.0,,,,,,,,,86164.0,16972.0,14721.0,14960.0,12182.0,11381.0,10548.0
CSL,AU000000CSL8,,,,,,,87052.0,88138.0,88138.0,107481.0,107481.0,133858.0,133700.0,136951.0,,,,,,,,,,242900.0,151000.0,223000.0,151000.0
CSR DEAD - DEAD.10/07/24,AU000000CSR5,,,,,,,,,,527701.0,460993.0,456850.0,292326.0,274951.0,259621.0,226570.0,234184.0,266949.0,265652.0,258399.0,202860.0,184647.0,183104.0,178597.0,162429.0,,
CLEANAWAY WASTE MANAGEMENT,AU000000CWY3,,,,,,,,,,,,,,47430.0,41111.0,33450.0,,,,28000.0,41000.0,43100.0,47000.0,61000.0,59000.0,52000.0,52000.0
DOWNER EDI,AU000000DOW2,,,,,,,,,,37360.0,49620.0,49030.0,52670.0,50090.0,50730.0,46403.0,51794.0,43430.0,38900.0,86500.0,85600.0,64833.0,63469.0,47352.0,39404.0,35140.0,30800.0
DEXUS STAPLED UNITS,AU000000DXS1,,,,,,,,,194539.0,151951.0,139285.0,134243.0,123674.0,112803.0,103927.0,117422.0,137785.0,136789.0,128878.0,131218.0,127353.0,117610.0,98042.0,93494.0,86934.0,105608.0,
ELDERS,AU000000ELD6,,,,,,,,,,,,,,,,,,,,8464.0,8452.0,8946.0,5409.0,5801.0,5380.0,5840.0,5946.0
ENERGY RES.OF AUS.,AU000000ERA9,"$$ER: 0904,NO DATA AVAILABLE",,,,,,,,,,,,,,,,,,,,,,,,,,
FLIGHT CENTRE TRAVEL GP.,AU000000FLT9,,,,,,,,,,,,,,,,,,,,,21300.0,,,,9324.0,10852.0,
GOODMAN GROUP,AU000000GMG2,,,,,,,,,,,,,,57000.0,,,,,,,,,37065.0,29777.0,32867.0,29912.0,32139.0
GPT GROUP STAPLED UNITS,AU000000GPT8,,,,,,231000.0,231172.0,231371.0,211728.0,190133.0,180406.0,181095.0,170865.0,160503.0,152381.0,144945.0,133092.0,145136.0,143642.0,136842.0,90646.0,95982.0,86968.0,86711.0,84235.0,80128.0,
,,"$$ER: E100,INVALID CODE OR EXPRESSION ENTERED",,,,,,,,,,,,,,,,,,,,,,,,,,
GWA GROUP,AU000000GWA4,,,,,,,,,,,,,32624.0,26235.0,20408.0,19308.0,,,,,,,,1313.0,1277.0,1098.0,1064.0
HILLS DEAD - DELIST.29/08/23,AU000000HIL8,"$$ER: 0904,NO DATA AVAILABLE",,,,,,,,,,,,,,,,,,,,,,,,,,
,,"$$ER: E100,INVALID CODE OR EXPRESSION ENTERED",,,,,,,,,,,,,,,,,,,,,,,,,,
HARVEY NORMAN HOLDINGS,AU000000HVN7,"$$ER: 0904,NO DATA AVAILABLE",,,,,,,,,,,,,,,,,,,,,,,,,,
INSURANCE AUS.GROUP,AU000000IAG3,,,,,,,,8427.0,46164.0,46482.0,40988.0,44119.0,41975.0,37977.0,36120.0,32947.0,38161.0,29112.0,26087.0,22738.0,18100.0,14562.0,12458.0,10903.0,9729.0,12578.0,12045.0
INSIGNIA FINANCIAL,AU000000IFL2,,,,,,,,,,,,,,,,,,,,,,,1545.6,1342.2,1355.2,,
IGO,AU000000IGO4,,,,,,,,,,,,21873.0,21595.0,15448.0,,,18245.0,15598.0,13743.0,14042.0,130.0,173.0,138.0,191.5,33017.9,22707.6,3691.9
ILUKA RESOURCES,AU000000ILU1,,,,,,,,,,,,,,,,,,,59000.0,49000.0,68000.0,74000.0,82000.0,88000.0,102000.0,71000.0,
,,"$$ER: E100,INVALID CODE OR EXPRESSION ENTERED",,,,,,,,,,,,,,,,,,,,,,,,,,
IRESS,AU000000IRE2,,,,,,,,,,,,,,,,,2027.1,1879.17,,,2013.0,1365.0,1373.0,899.0,835.0,1117.0,
INVOCARE DEAD - DELIST.27/11/23,AU000000IVC8,,,,,,,,,,,7358.0,7436.0,7669.0,8243.0,,,,,,,,,,,,,
JB HI-FI,AU000000JBH7,,,,,,,,,,,,,,,,,,,,,,66149.5,63088.86,62715.81,56813.54,56636.0,59413.0
JAMES HARDIE INDUSTRIES CDI,AU000000JHX1,,,,,,,,,,,,,,,,,,,,,,273004.0,245239.0,292542.0,280630.0,265426.0,246953.0
LENDLEASE GROUP STAPLED UNITS,AU000000LLC3,,,,,,,,,,182816.0,69140.0,211984.0,227564.0,282539.0,237107.0,247602.0,212289.0,213174.0,221549.0,248815.0,229443.0,258353.0,118397.0,76691.0,115504.0,147494.0,
MACMAHON HOLDINGS,AU000000MAH3,,,,,,,,,,,3826.0,4015.9,2671.24,,,,,1465.0,1583.0,1538.0,1761.0,1803.0,1481.0,1246.0,913.0,977.0,3203.0
MIRVAC GROUP STAPLED UNITS,AU000000MGR9,,,,,,,104078.0,138048.0,310746.0,257158.0,254449.0,199548.0,175893.0,145228.0,71426.0,69202.0,67513.0,76593.0,79149.0,73772.0,78041.0,70255.0,64018.0,,,73900.0,
MGX RESOURCES,AU000000MGX7,"$$ER: 0904,NO DATA AVAILABLE",,,,,,,,,,,,,,,,,,,,,,,,,,
MONADELPHOUS GROUP,AU000000MND5,,,,,,,,,,,,,,3261.0,,,,,,,,,,,,,
MACQUARIE GROUP,AU000000MQG1,,,,,,,,,,,33255.0,,51682.0,52497.0,46499.0,42389.0,43257.0,41064.0,38267.0,35970.0,32322.0,29767.0,23734.0,23932.0,23079.0,21508.0,
