NAME,ISIN,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
SLB,AN8068571086,,,,,,,,,1120000.0,1218000.0,1315000.0,1610000.0,1761333.0,2200000.0,1790000.0,2100000.0,1400000.0,1136000.0,1358000.0,1422000.0,1668000.0,1424000.0,1369000.0,1483000.0,1012000.0,990000.0,990000.0
STRABAG SE,AT000000STR1,,,,,,,,,,,,771000.0,997704.0,976651.0,968759.0,908584.0,892154.0,836246.0,876651.0,844209.0,833816.0,742063.0,771799.0,813242.0,819934.0,790336.0,790336.0
FLUGHAFEN WIEN,AT00000VIE62,,,,,,,,,,,,,,,,,11461.0,11796.0,8455.0,8958.0,9648.0,4745.0,5663.0,7567.0,9027.0,9847.0,9847.0
RAIFFEISEN BANK INTL.,AT0000606306,,,,,,,,,,,,224.0,321.0,6988.0,5161.0,5296.0,8476.0,6027.0,6270.0,7696.0,7455.0,6392.0,4827.0,6049.0,12403.0,9375.0,9375.0
ERSTE GROUP BANK,AT0000652011,,,,,,,,,,,2561.0,2185.0,67623.0,38798.0,32753.0,32244.0,25493.0,22630.0,27967.0,27297.0,29950.0,24929.0,21530.0,20707.0,18701.0,16803.0,16803.0
TELEKOM AUSTRIA,AT0000720008,,,,,,,,14813.3,29430.22,16027.64,15937.0,14783.36,14172.0,28649.0,27476.0,25853.0,27584.0,27419.0,27867.0,23833.0,22758.0,23766.0,23732.0,24048.0,20964.0,18807.0,18807.0
ANDRITZ,AT0000730007,,,,,,,,,,,,,,,,,,,23655.0,24985.0,23160.0,25939.0,28205.0,60906.0,54641.0,54214.0,54214.0
OMV,AT0000743059,,,,5000000.0,7500000.0,7800000.0,7200000.0,14100000.0,12100000.0,12000000.0,11732400.0,12206700.0,11556000.0,10991000.0,12900000.0,13100000.0,12200000.0,11000000.0,11100000.0,11100000.0,12648004.0,10900000.0,13500000.0,11700000.0,9307079.0,9778526.0,9778526.0
VERBUND,AT0000746409,,,,,,,,3701000.0,3407000.0,2885000.0,2220911.0,3246066.0,3658083.0,3087000.0,2782000.0,1765000.0,1737000.0,1007000.0,1358000.0,1070000.0,1073000.0,654000.0,454000.0,585000.0,292348.0,499696.0,499696.0
WIENERBERGER,AT0000831706,,,,,,,,,,,,,,,,,,,,,,2353300.0,2483500.0,2767700.0,1909400.0,1723188.0,1723188.0
