screen_year,investment_year,n_investable_2_1,n_assets_used_in_cov,max_weight,min_weight
2013,2014,829,829,0.1375274155034274,0.0
2014,2015,853,853,0.12585419057048328,0.0
2015,2016,885,885,0.12232454801440605,0.0
2016,2017,909,909,0.13408362175229627,0.0
2017,2018,941,941,0.1173199421560517,0.0
2018,2019,998,998,0.13076428199966778,0.0
2019,2020,1087,1087,0.07025084413353633,0.0
2020,2021,1130,1130,0.12729387274898446,0.0
2021,2022,1162,1162,0.08461392516381203,0.0
2022,2023,1162,1162,0.09600142874957536,0.0
2023,2024,1147,1147,0.11389709408748717,0.0
2024,2025,1132,1132,0.11363324660429876,0.0
