screen_year,investment_year,n_investable,n_assets_in_cov,n_dropped_missing,max_weight
2013,2025,829,771,58,0.11609104755585979
2014,2025,853,811,42,0.13249197560791767
2015,2025,885,862,23,0.12128709420600502
2016,2025,909,895,14,0.13799140500836066
2017,2025,941,931,10,0.11398508316125178
2018,2025,998,984,14,0.12080388296747072
2019,2025,1087,1073,14,0.06815185665842179
2020,2025,1130,1115,15,0.1274233175250805
2021,2025,1162,1148,14,0.09228624929524576
2022,2025,1162,1147,15,0.09185694665115354
2023,2025,1147,1136,11,0.11467074452785359
2024,2025,1132,1120,12,0.11404326821545878
