screen_year,investment_year,n_assets,cf_target_unconstrained,cf_limit,cf_realized,binding,max_weight
2013,2014,771,639.6445556396939,319.82227781984693,319.8222778117295,True,0.1003605218404756
2014,2015,811,463.12975964307253,231.56487982153627,231.56480147963347,True,0.09128321036950286
2015,2016,862,472.9887248526675,236.49436242633374,236.49436240367123,True,0.10401259452502414
2016,2017,895,316.90100364644053,158.45050182322026,158.45050182321143,True,0.09684589586167822
2017,2018,931,342.2076415569369,171.10382077846845,171.10382021140424,True,0.08370378966470435
2018,2019,984,431.70366100566014,215.85183050283007,215.8518304561572,True,0.059436918519530105
2019,2020,1073,229.72643488510712,114.86321744255356,114.86321744255068,True,0.05850769338704199
2020,2021,1115,241.1710948716245,120.58554743581224,120.58554743581098,True,0.08121802799844169
2021,2022,1148,134.3400942691641,67.17004713458205,67.17004713458223,True,0.06795630693121187
2022,2023,1147,89.58240058080416,44.79120029040208,44.79120029040185,True,0.06596806098931952
2023,2024,1136,86.47624008456509,43.238120042282546,43.238120042282056,True,0.06984553395528381
2024,2025,1120,80.89670567807751,40.448352839038755,40.448352839038265,True,0.08585498883290381
