screen_year,investment_year,n_assets,cf_vw_unconstrained,cf_limit,cf_realized,binding,tracking_error,max_weight
2013,2014,771,145.23303089610815,130.7097278064973,130.70959709676941,True,3.3680982421954134e-05,0.023249498783985755
2014,2015,811,137.3399985957761,117.63875502584759,117.6386373870925,True,4.411667639183868e-05,0.028886856168765178
2015,2016,862,146.97388220656268,105.87487952326283,105.87477364838333,True,8.162508646043162e-05,0.026899891190386063
2016,2017,895,131.64555478526606,95.28739157093653,95.28729628354515,True,8.768934539870467e-05,0.026269634855283205
2017,2018,931,106.89560385213107,85.7586524138429,85.7585666515159,True,6.416214692531562e-05,0.030702048075576104
2018,2019,984,113.84291247340022,77.1827871724586,77.18270998967138,True,0.00011430302882950745,0.02984766605416878
2019,2020,1073,82.3175357583259,69.46450845521275,69.4644389907044,True,3.756848513654072e-05,0.038505540760840125
2020,2021,1115,66.0025592901662,62.518057609691475,62.51799509163384,True,1.0754720279238887e-05,0.0588999647809489
2021,2022,1148,55.432862833179385,56.26625184872233,55.39841105102037,False,2.0068017259320937e-07,0.06132015494286091
2022,2023,1147,64.83680210502942,50.639626663850095,50.63957602422337,True,5.339597878447715e-05,0.05250311509698581
2023,2024,1136,51.87977939865641,45.575663997465085,45.57561842180103,True,2.3148431329438498e-05,0.06382553855713426
2024,2025,1120,44.65204379077938,41.01809759771859,41.018056579620975,True,1.1295463375273649e-05,0.07069558884446188
