Year,P(mv)_oos,P(mv)_oos(0.5),P(vw)_oos,P(vw)_oos(0.5),P(mv)_oos(0.5) change %,P(vw)_oos(0.5) change %
2013,346.1843746552893,144.23877180326787,177.3971230891002,13.433817661651396,-58.334696085895665,-92.42726295233994
2014,508.904081836133,229.82562352662157,181.24580314365534,13.206860612900577,-54.83910785360426,-92.71328748923757
2015,356.7354978954174,156.6933125298232,166.58569117849368,12.095395475929184,-56.07577225864966,-92.73923505052473
2016,69.93129048611205,34.39025283158494,194.0922920950304,13.98508876019854,-50.82279678734851,-92.79461919417632
2017,175.43723811469374,75.97723382145217,184.14837608919672,12.790157322119367,-56.69264140388408,-93.05442839424
2018,680.785206181855,314.0472504787054,166.7857395050891,9.916875428191918,-53.8698479892033,-94.0541226980084
2019,356.54731099910276,155.023016559738,145.9507826667977,10.598238408291778,-56.52105294937195,-92.73848470378724
2020,446.5359709416728,214.25445157473638,119.85707975489672,7.913803959095223,-52.01854598120996,-93.39729953768384
2021,273.3693667912232,137.49221918667206,125.31540723194465,12.15521738592086,-49.70459901907107,-90.30030093313033
2022,183.99472799430973,77.2454402229086,121.14574548474188,13.05182752592033,-58.01757959864072,-89.2263426390288
2023,117.23429181136227,48.774757258811476,79.14976601364563,12.759803960047655,-58.395486077321735,-83.878911331402
2024,130.83444025444194,49.340766808029976,78.79353498476063,18.743724595572775,-62.28763106100054,-76.21159578739807
