screen_year,investment_year,n_assets,cf_vw_matched,cf_limit,cf_realized,binding,tracking_error,max_weight
2013,2014,771,145.23303089610815,72.61651544805407,72.6164428315387,True,0.00019928652163539318,0.023308328846476118
2014,2015,811,137.3399985957761,68.66999929788805,68.66993062788904,True,0.00019604139967063788,0.02890362399565313
2015,2016,862,146.97388220656268,73.48694110328134,73.48686761634005,True,0.00019423738430619824,0.026914912105648385
2016,2017,895,131.64555478526606,65.82277739263303,65.82271164592098,True,0.00020756895449967335,0.026260535438480916
2017,2018,931,106.89560385213107,53.44780192606554,53.447748478263556,True,0.00021128733582701894,0.03071200383400529
2018,2019,984,113.84291247340022,56.92145623670011,56.92139931524384,True,0.00020748696598913807,0.029882414717551504
2019,2020,1073,82.3175357583259,41.15876787916295,41.15872672039503,True,0.00017295569892506466,0.03849954090744263
2020,2021,1115,66.0025592901662,33.0012796450831,33.00124664380341,True,0.00016097739852592344,0.05889786560560667
2021,2022,1148,55.432862833179385,27.716431416589693,27.71640370015833,True,0.00015729047270837798,0.0613319283650213
2022,2023,1147,64.83680210502942,32.41840105251471,32.41836863411367,True,0.0001794942245698249,0.05252557019682508
2023,2024,1136,51.87977939865641,25.939889699328205,25.93986375943853,True,0.00016999879348381547,0.06385253965674342
2024,2025,1120,44.65204379077938,22.32602189538969,22.32599956936782,True,0.0001512089436168586,0.07074442274391977
