Rank (by MVP WACI contribution),P(mv)_oos,P(mv)_oos(0.5),P(vw),P(vw)_oos(0.5)
1,0.03844119043179752,0.018863503437659933,0.0013751061223399705,0.0008001575782420512
2,0.017803691917747524,0.003878561516022925,0.001213966347305002,0.0006979835996545196
3,0.019042096162418826,0.012201583331589686,0.001237160924571686,0.0009426428871409879
4,0.02037438826732282,0.016252024631056818,0.000684585376320043,0.0005079273953567403
5,0.020476348837627802,0.017576587185600658,0.0028263417779913398,0.0026622079548445487
6,0.03587708451803393,0.03437421148769468,0.0005206823642623539,0.0004818281105997166
7,0.023663981506982696,0.0249800065026804,0.0009571805137832263,0.0009704754801614304
8,0.023283814469349,0.02358760700431815,0.0021293956170471023,0.0021905285228273666
9,0.02369826044729474,0.024661872940650448,0.0004379258096311436,0.0003987485067303242
10,0.020127257393144724,0.020149132841804827,0.002832105988600195,0.002823173533119946
