Year,P(vw)_oos,P(mv)_oos(0.5),P(vw)_oos(NZ)
2013,0.00756460050931312,0.075087861418701,0.006144472094942244
2014,0.008028012901466377,0.06951694424622656,0.0064477975081511565
2015,0.008492724471247055,0.06853169171305434,0.005526795279063178
2016,0.00821675834136168,0.04813978729114272,0.005194771156810512
2017,0.005576983465579562,0.052469656853564466,0.0037707458568884463
2018,0.003801377101777107,1.650549074978844e-10,0.0016333847066000273
2019,0.004136209937603141,1.2368354288506736e-17,0.002834961533173591
2020,0.0030577337809586224,2.5487326788834208e-17,0.0027521007234665635
2021,0.0029339116780336652,8.389639984954687e-19,0.002930701486710287
2022,0.004698373186787209,1.069273611670679e-18,0.003467847220874782
2023,0.0033091204170042723,4.4385061738738915e-18,0.0025072896629948316
2024,0.00367919298184454,2.5539670419233784e-18,0.003455444518229576
